categorySlug,playlistId,channelId,rate,views
INTE,PLJicmE8fK0EiRDlaTkXxb0_zSf68K5mK_,UCsooa4yRKGN_zEE8iknghZA,9,378200
LANG,PLJicmE8fK0EjR_iVOzgiJfvRuDPqKlPQt,UCsooa4yRKGN_zEE8iknghZA,9,249450
HLTH,PLJicmE8fK0EihspOYDP20Aody8zonQVEY,UCsooa4yRKGN_zEE8iknghZA,7,329484
HLTH,PLJicmE8fK0Ei7nZRhCz2zjNgt-NYPUk1a,UCsooa4yRKGN_zEE8iknghZA,7,430145
ARTS,PLJicmE8fK0Ej26EQOOyY5o0PYLZdnuaMK,UCsooa4yRKGN_zEE8iknghZA,6,904292
PHYS,PLJicmE8fK0EiXEhalfH_ea1IN-gcKY_qt,UCsooa4yRKGN_zEE8iknghZA,3,506621
PHYS,PLJicmE8fK0EgBw0FVYiTACRNRaNAtzK-1,UCsooa4yRKGN_zEE8iknghZA,4,847325
HUMA,PLJicmE8fK0Eib5y-bh4RVFvg492OIwpg8,UCsooa4yRKGN_zEE8iknghZA,2,541738
INTE,PLJicmE8fK0EgI__8e2HP-EZDJuvIF3RsT,UCsooa4yRKGN_zEE8iknghZA,4,748863
SCLS,PLJicmE8fK0EjmM_h5SlfvmbW_ZxKjLzHR,UCsooa4yRKGN_zEE8iknghZA,9,753217
PHYS,PLJicmE8fK0Ejk2MO8WlaGGw7j13_fbc0A,UCsooa4yRKGN_zEE8iknghZA,7,824958
HUMA,PLJicmE8fK0Egm1AhWPoWY3qs2VgIfElOK,UCsooa4yRKGN_zEE8iknghZA,9,641495
PHYS,PLJicmE8fK0EjGmPGeh_WDu69qAsN-iHVA,UCsooa4yRKGN_zEE8iknghZA,4,137729
PHYS,PLJicmE8fK0EgnWzPUgQ4D1_oLuye0wc2Z,UCsooa4yRKGN_zEE8iknghZA,2,652521
SCLS,PLJicmE8fK0EgrpTC7oeWwTYmrJxdPE3x7,UCsooa4yRKGN_zEE8iknghZA,7,458890
EGNE,PL006C004839E8F1C1,UCsooa4yRKGN_zEE8iknghZA,9,614917
HLTH,PLOGi5-fAu8bGfHYWFOpfTY3tgakV8D-HZ,UCAuUUnT6oDeKwE6v1NGQxug,1,823596
INTE,PLOGi5-fAu8bFgv-Wiz8pfnQEHJNhyYusf,UCAuUUnT6oDeKwE6v1NGQxug,3,753467
EGNE,PLOGi5-fAu8bG4Z3fF1SYs4GAQqKZ8YtSq,UCAuUUnT6oDeKwE6v1NGQxug,9,876770
SPRT,PLOGi5-fAu8bH4FYJb-Ki6UHJHq-5BIYjn,UCAuUUnT6oDeKwE6v1NGQxug,4,873269
BUSN,PLOGi5-fAu8bFvyS3XtmQb2B-Mg4N_Eq4U,UCAuUUnT6oDeKwE6v1NGQxug,9,411871
SCLS,PLOGi5-fAu8bGiEvsxHyAvT8oIwkV8aOVk,UCAuUUnT6oDeKwE6v1NGQxug,1,599306
SCLS,PLOGi5-fAu8bHr74InjXRfRTcNnnU6tfW_,UCAuUUnT6oDeKwE6v1NGQxug,4,681170
SCLS,PLOGi5-fAu8bF6_adsutW6XmV7zvKr069X,UCAuUUnT6oDeKwE6v1NGQxug,5,141348
PHYS,PLOGi5-fAu8bFtC_4Y3tIJnD-qIKXF7Dkr,UCAuUUnT6oDeKwE6v1NGQxug,5,311125
HUMA,PLOGi5-fAu8bFJgn8sNqlTKanV5bcKef9M,UCAuUUnT6oDeKwE6v1NGQxug,6,30812
HUMA,PLOGi5-fAu8bENbtY1x85J6HhMjKXsMVZq,UCAuUUnT6oDeKwE6v1NGQxug,6,355244
MATH,PLOGi5-fAu8bEIw_xkj1FgKr7QY_Sahswy,UCAuUUnT6oDeKwE6v1NGQxug,1,657759
EGNE,PLOGi5-fAu8bEjWuJ9RFmIlOmRxgqY8u8C,UCAuUUnT6oDeKwE6v1NGQxug,4,210254
SCLS,PLOGi5-fAu8bGu9waTEbYsVh0rZyMJqeiD,UCAuUUnT6oDeKwE6v1NGQxug,8,913970
